Bin,Content,X,Y,Depth,Mode,Type
100160,22,37,31,762,GRID,330mm
100161,22,28,22,432,GRID,330mm
100162,22,10,8,430,GRID,330mm
100163,22,17,25,430,GRID,330mm
100164,22,14,37,428,GRID,330mm
100165,22,15,22,430,GRID,330mm
100166,22,20,30,430,GRID,330mm
100167,22,34,32,428,GRID,330mm
100168,22,19,15,434,GRID,330mm
100169,22,16,28,762,GRID,330mm
100170,22,10,32,762,GRID,330mm
100171,22,8,14,434,GRID,330mm
100172,22,6,29,430,GRID,330mm
100173,22,33,36,428,GRID,330mm
100174,22,15,13,766,GRID,330mm
100175,22,17,32,428,GRID,330mm
100176,22,17,24,430,GRID,330mm
100177,22,18,31,428,GRID,330mm
100178,22,36,36,432,GRID,330mm
100179,22,26,43,428,GRID,330mm
100180,22,16,26,764,GRID,330mm
100181,22,13,27,762,GRID,330mm
100182,22,8,38,428,GRID,330mm
100183,22,18,19,432,GRID,330mm
100184,22,37,30,760,GRID,330mm
100185,22,16,31,430,GRID,330mm
100186,22,21,40,430,GRID,330mm
100187,22,12,23,430,GRID,330mm
100188,22,27,18,432,GRID,330mm
100189,10,24,16,432,TRANSIT,330mm
100190,10,30,36,96,TRANSIT,330mm
100191,10,30,14,430,TRANSIT,330mm
100192,22,24,17,430,GRID,330mm
100193,22,7,9,432,GRID,330mm
100194,22,34,33,430,GRID,330mm
100195,22,7,27,432,GRID,330mm
100196,11,22,12,430,TRANSIT,330mm
100197,10,24,31,100,TRANSIT,330mm
100198,10,31,19,98,TRANSIT,330mm
100199,10,34,29,100,TRANSIT,330mm
100200,10,34,14,98,TRANSIT,330mm
100201,10,30,31,96,TRANSIT,330mm
100202,10,32,9,428,TRANSIT,330mm
100203,10,41,34,428,TRANSIT,330mm
100204,10,26,17,430,TRANSIT,330mm
100205,10,24,13,430,TRANSIT,330mm
100206,10,41,27,428,TRANSIT,330mm
100207,10,39,34,430,TRANSIT,330mm
100208,10,20,17,434,GRID,330mm
100209,11,13,28,430,GRID,330mm
100210,11,6,23,430,GRID,330mm
100211,11,11,14,432,GRID,330mm
100212,11,16,28,1424,GRID,330mm
100213,11,12,17,432,GRID,330mm
100214,11,16,28,1092,GRID,330mm
100215,10,16,35,4762,GRID,330mm
100216,10,38,11,756,GRID,330mm
100217,10,37,23,98,GRID,330mm
100218,10,40,25,760,GRID,330mm
100219,10,39,24,100,GRID,330mm
100220,10,35,24,762,GRID,330mm
100221,22,18,27,432,GRID,330mm
100222,21,35,27,432,GRID,330mm
100223,10,34,37,430,GRID,330mm
100224,10,24,33,430,GRID,330mm
100225,10,34,26,98,GRID,330mm
100226,10,36,27,98,GRID,330mm
100227,10,35,24,1424,GRID,330mm
100228,10,39,8,758,GRID,330mm
100229,10,39,24,432,GRID,330mm
100230,10,36,23,432,GRID,330mm
100232,20,4,29,1,PORT,330mm
100233,22,25,29,428,GRID,330mm
100234,22,37,40,428,GRID,330mm
100235,22,6,36,96,TRANSIT,330mm
100236,20,9,15,102,TRANSIT,330mm
100237,22,6,31,98,TRANSIT,330mm
100238,22,14,20,764,GRID,330mm
100239,22,25,38,430,GRID,330mm
100240,21,12,30,428,GRID,330mm
100241,22,31,35,428,GRID,330mm
100242,22,27,22,430,GRID,330mm
100243,22,34,33,762,GRID,330mm
100244,22,4,30,2,CLOSED,330mm
100245,20,6,32,96,TRANSIT,330mm
100246,22,11,37,428,GRID,330mm
100247,22,37,35,430,GRID,330mm
100248,20,6,30,98,TRANSIT,330mm
100249,20,6,28,98,TRANSIT,330mm
100250,10,33,42,98,GRID,330mm
100251,10,30,39,98,GRID,330mm
100252,11,27,29,428,GRID,330mm
100253,10,30,31,426,GRID,330mm
100254,22,11,30,100,TRANSIT,330mm
100255,20,4,36,2,PORT,330mm
100256,20,4,37,1,CLOSED,330mm
100257,20,11,22,100,TRANSIT,330mm
100258,20,7,18,100,TRANSIT,330mm
100259,20,6,27,98,TRANSIT,330mm
100260,20,17,15,102,TRANSIT,330mm
100261,20,24,27,96,TRANSIT,330mm
100262,20,10,26,98,TRANSIT,330mm
100263,20,21,16,100,TRANSIT,330mm
100264,11,11,15,432,GRID,330mm
100265,11,28,29,430,GRID,330mm
100266,10,27,31,428,GRID,330mm
100267,20,11,32,98,TRANSIT,330mm
100268,20,33,9,428,TRANSIT,330mm
100269,20,11,43,428,TRANSIT,330mm
100270,20,35,10,426,TRANSIT,330mm
100271,20,19,12,432,TRANSIT,330mm
100272,20,6,21,98,TRANSIT,330mm
100273,20,22,25,100,TRANSIT,330mm
100274,20,8,12,98,TRANSIT,330mm
100275,20,16,25,96,TRANSIT,330mm
100276,22,24,26,430,GRID,330mm
100277,10,37,39,98,GRID,330mm
100278,10,18,41,426,GRID,330mm
100279,20,19,8,98,TRANSIT,330mm
100280,10,27,14,430,GRID,330mm
100281,20,7,19,98,TRANSIT,330mm
100282,20,13,36,96,TRANSIT,330mm
100283,20,25,24,98,TRANSIT,330mm
100284,22,15,22,100,TRANSIT,330mm
100285,20,15,35,98,TRANSIT,330mm
100286,20,20,11,100,TRANSIT,330mm
100287,10,34,21,430,GRID,330mm
100288,20,6,11,96,TRANSIT,330mm
100289,20,38,39,98,TRANSIT,330mm
100290,20,4,10,3,CLOSED,330mm
100291,20,24,28,96,TRANSIT,330mm
100292,20,36,37,98,TRANSIT,330mm
100293,20,17,13,100,TRANSIT,330mm
100294,20,18,22,762,TRANSIT,330mm
100295,20,17,26,98,TRANSIT,330mm
100296,20,32,9,98,TRANSIT,330mm
100297,20,26,10,98,TRANSIT,330mm
100298,10,39,43,96,GRID,330mm
100299,10,28,34,98,GRID,330mm
100300,20,14,17,102,TRANSIT,330mm
100301,20,10,34,100,TRANSIT,330mm
100302,20,15,18,100,TRANSIT,330mm
100303,20,4,17,1,CLOSED,330mm
100304,10,36,17,100,GRID,330mm
100305,10,32,21,100,GRID,330mm
100306,10,26,43,760,GRID,330mm
100307,10,25,11,430,GRID,330mm
100308,11,9,10,1094,GRID,330mm
100309,11,7,37,428,GRID,330mm
100310,10,35,23,432,GRID,330mm
100311,10,36,32,428,GRID,330mm
100312,11,17,39,760,GRID,330mm
100313,11,20,19,430,GRID,330mm
100314,10,20,41,426,GRID,330mm
100315,10,31,42,98,GRID,330mm
100316,10,33,33,96,GRID,330mm
100317,10,31,24,96,GRID,330mm
100318,10,39,9,762,GRID,330mm
100319,10,20,42,430,GRID,330mm
100320,10,27,25,96,GRID,330mm
100321,10,33,8,428,GRID,330mm
100322,10,39,15,100,GRID,330mm
100323,10,31,27,96,GRID,330mm
100324,10,35,20,100,GRID,330mm
100325,10,30,26,96,GRID,330mm
100326,11,9,27,760,GRID,330mm
100327,10,32,14,430,GRID,330mm
100328,10,37,29,98,GRID,330mm
100329,10,37,16,100,GRID,330mm
100330,10,33,16,432,GRID,330mm
100331,10,31,16,432,GRID,330mm
100332,11,7,34,430,GRID,330mm
100333,11,6,10,430,GRID,330mm
100334,10,31,41,96,GRID,330mm
100335,10,39,37,96,GRID,330mm
100336,10,36,17,430,GRID,330mm
100337,10,19,43,96,GRID,330mm
100338,10,34,22,98,GRID,330mm
100339,10,23,13,430,GRID,330mm
100340,10,27,33,430,GRID,330mm
100341,10,38,9,94,GRID,330mm
100342,10,35,42,94,GRID,330mm
100343,10,30,8,428,GRID,330mm
100344,11,12,9,1094,GRID,330mm
100345,11,10,8,764,GRID,330mm
100346,10,17,9,764,GRID,330mm
100347,10,32,39,94,GRID,330mm
100348,10,37,43,96,GRID,330mm
100349,10,36,25,98,GRID,330mm
100350,10,23,18,430,GRID,330mm
100351,10,36,14,430,GRID,330mm
100352,10,38,15,102,GRID,330mm
100353,11,19,30,430,GRID,330mm
100354,10,21,43,94,GRID,330mm
100355,11,25,32,430,GRID,330mm
100356,10,38,29,96,GRID,330mm
100357,10,27,41,98,GRID,330mm
100358,10,30,26,430,GRID,330mm
100359,10,28,41,98,GRID,330mm
100360,11,26,11,432,GRID,330mm
100361,10,35,29,96,GRID,330mm
100362,10,31,20,430,GRID,330mm
100363,10,35,28,98,GRID,330mm
100364,10,12,23,762,GRID,330mm
100365,11,8,21,432,GRID,330mm
100366,10,36,38,96,GRID,330mm
100367,10,37,32,94,GRID,330mm
100368,11,11,40,428,GRID,330mm
100369,10,37,23,432,GRID,330mm
100370,11,16,19,430,GRID,330mm
100371,11,8,35,430,GRID,330mm
100372,11,35,11,424,GRID,330mm
100373,10,32,32,96,GRID,330mm
100374,22,24,20,100,TRANSIT,330mm
100375,20,9,19,432,TRANSIT,330mm
100376,20,16,20,762,TRANSIT,330mm
100377,20,28,38,96,TRANSIT,330mm
100378,20,22,40,96,TRANSIT,330mm
100379,22,4,9,2,CLOSED,330mm
100380,22,14,9,102,TRANSIT,330mm
100381,10,37,12,94,GRID,330mm
100382,10,27,25,430,GRID,330mm
100383,20,18,21,432,TRANSIT,330mm
100384,20,18,12,100,TRANSIT,330mm
100385,20,22,30,428,TRANSIT,330mm
100386,22,6,40,430,TRANSIT,330mm
100387,22,6,13,432,GRID,330mm
100388,10,39,38,98,GRID,330mm
100389,10,25,36,760,GRID,330mm
100390,10,38,19,432,GRID,330mm
100391,22,32,17,432,GRID,330mm
100392,22,11,18,100,TRANSIT,330mm
100393,20,41,31,98,TRANSIT,330mm
100394,20,9,34,98,TRANSIT,330mm
100395,20,13,21,100,TRANSIT,330mm
100396,20,24,23,100,TRANSIT,330mm
100397,20,31,36,98,TRANSIT,330mm
100398,20,7,24,98,TRANSIT,330mm
100399,20,23,12,98,TRANSIT,330mm
100400,20,14,13,102,TRANSIT,330mm
100401,20,9,22,98,TRANSIT,330mm
100402,20,15,8,100,TRANSIT,330mm
100403,20,10,38,98,TRANSIT,330mm
100404,20,8,24,98,TRANSIT,330mm
100405,11,6,12,430,GRID,330mm
100406,10,30,12,428,GRID,330mm
100407,10,24,38,428,GRID,330mm
100408,11,29,16,432,GRID,330mm
100409,22,21,18,432,GRID,330mm
100410,10,40,31,96,GRID,330mm
100411,22,6,13,762,GRID,330mm
100412,20,17,20,100,TRANSIT,330mm
100413,20,15,25,98,TRANSIT,330mm
100414,20,38,19,100,TRANSIT,330mm
100415,22,12,11,432,TRANSIT,330mm
100416,22,28,14,430,GRID,330mm
100417,22,6,9,430,TRANSIT,330mm
100418,22,34,18,432,TRANSIT,330mm
100419,20,36,23,98,TRANSIT,330mm
100420,11,8,30,98,GRID,330mm
100421,10,39,35,96,GRID,330mm
100422,10,34,36,430,GRID,330mm
100423,10,34,36,762,GRID,330mm
100424,10,23,37,430,GRID,330mm
100425,20,8,11,100,TRANSIT,330mm
100426,20,20,12,100,TRANSIT,330mm
100427,20,23,15,100,TRANSIT,330mm
100428,22,10,20,432,GRID,330mm
100429,20,34,42,96,TRANSIT,330mm
100430,20,17,18,100,TRANSIT,330mm
100431,20,16,43,98,TRANSIT,330mm
100432,20,18,9,100,TRANSIT,330mm
100433,10,39,23,98,GRID,330mm
100434,10,38,28,98,GRID,330mm
100435,22,19,18,432,TRANSIT,330mm
100436,11,21,32,428,GRID,330mm
100437,10,41,38,426,GRID,330mm
100438,10,37,27,100,GRID,330mm
100439,10,26,35,430,GRID,330mm
100440,10,19,43,428,GRID,330mm
100441,11,9,29,762,GRID,330mm
100442,11,16,34,430,GRID,330mm
100443,10,21,39,428,GRID,330mm
100444,10,25,42,428,GRID,330mm
100445,10,34,40,428,GRID,330mm
100446,10,10,32,1092,GRID,330mm
100447,11,15,19,430,GRID,330mm
100448,10,41,30,760,GRID,330mm
100449,10,29,36,96,GRID,330mm
100450,10,38,28,430,GRID,330mm
100451,10,35,32,760,GRID,330mm
100452,10,36,12,92,GRID,330mm
100453,11,21,18,762,GRID,330mm
100454,10,26,28,428,GRID,330mm
100455,11,9,25,1094,GRID,330mm
100456,10,18,13,764,GRID,330mm
100457,11,29,17,762,GRID,330mm
100458,10,38,20,100,GRID,330mm
100459,11,8,30,430,GRID,330mm
100460,10,16,12,762,GRID,330mm
100461,10,33,13,428,GRID,330mm
100462,10,40,40,98,GRID,330mm
100463,10,18,16,432,GRID,330mm
100464,11,12,36,430,TRANSIT,330mm
100465,11,10,15,434,GRID,330mm
100466,11,7,34,98,TRANSIT,330mm
100467,10,35,13,760,GRID,330mm
100468,11,12,30,760,GRID,330mm
100469,10,17,26,430,GRID,330mm
100470,10,18,23,762,GRID,330mm
100471,10,36,33,100,GRID,330mm
100472,10,35,26,98,GRID,330mm
100473,11,6,42,428,GRID,330mm
100474,10,32,29,96,GRID,330mm
100475,10,31,8,428,GRID,330mm
100476,11,27,27,428,GRID,330mm
100477,10,41,31,760,GRID,330mm
100478,10,37,11,424,GRID,330mm
100479,11,10,33,760,GRID,330mm
100480,10,28,36,430,GRID,330mm
100481,10,18,43,1090,GRID,330mm
100482,10,31,40,96,GRID,330mm
