Bin	Content	X	Y	Depth	Mode
100207	10	24	108	1082	GRID
100208	10	80	108	1746	GRID
100209	10	84	118	4760	GRID
100210	10	24	105	3078	GRID
100211	10	51	94	4420	GRID
100212	10	66	122	2746	GRID
100213	10	67	97	752	GRID
100214	10	50	109	1410	GRID
100215	10	34	113	4084	GRID
100216	10	37	121	3750	GRID
100217	10	40	117	412	GRID
100218	10	145	116	424	GRID
100219	10	35	109	4088	GRID
100220	10	31	113	3078	GRID
100221	10	44	109	3078	GRID
100222	10	43	117	2746	GRID
100223	10	51	97	1410	GRID
100224	11	195	117	90	GRID
100225	10	57	91	418	GRID
100226	10	27	111	1748	GRID
100227	10	138	94	422	GRID
100228	10	35	113	2746	GRID
100229	10	86	116	750	GRID
100230	10	30	115	4758	GRID
100231	10	77	107	4086	GRID
100232	10	81	106	4088	GRID
100233	10	24	108	4422	GRID
100234	10	51	100	4084	GRID
100235	10	42	109	4422	GRID
100236	10	39	120	1078	GRID
100237	10	35	119	1082	GRID
100238	10	65	98	2744	GRID
100239	10	24	108	3412	GRID
100240	10	138	105	5100	GRID
100241	10	137	103	5102	GRID
100242	10	55	92	1746	GRID
100243	10	152	112	5098	GRID
100244	10	151	111	5102	GRID
100245	10	171	101	4762	GRID
100246	10	120	98	5100	GRID
100247	10	128	99	5098	GRID
100248	10	180	99	4760	GRID
100249	10	161	101	4760	GRID
100250	10	190	121	4760	GRID
100251	10	187	110	4760	GRID
100252	10	125	100	5098	GRID
100253	10	185	116	4762	GRID
100254	10	130	105	5098	GRID
100255	10	183	106	4758	GRID
100256	10	110	95	5098	GRID
100257	10	144	105	5098	GRID
100258	10	126	96	5098	GRID
100259	10	186	119	4760	GRID
100260	10	186	114	4758	GRID
100261	10	181	106	4758	GRID
100262	10	124	101	5098	GRID
100263	10	129	101	5098	GRID
100264	10	114	98	5096	GRID
100265	10	184	116	4762	GRID
100266	10	159	97	4760	GRID
100267	10	187	112	4760	GRID
100268	10	184	115	4760	GRID
100269	10	129	100	5098	GRID
100270	10	181	107	4758	GRID
100271	10	184	117	4762	GRID
100272	10	160	100	4762	GRID
100273	10	105	94	5098	GRID
100274	10	185	118	4760	GRID
100275	10	172	100	4756	GRID
100276	10	108	95	5098	GRID
100277	10	129	96	5098	GRID
100278	10	143	102	5098	GRID
100279	10	197	102	4426	GRID
100280	10	198	118	4758	GRID
100281	10	146	112	5100	GRID
100282	10	199	96	4422	GRID
100283	10	156	101	4760	GRID
100284	10	59	96	1410	GRID
100285	10	125	105	5100	GRID
100286	10	59	98	1076	GRID
100287	10	135	105	5098	GRID
100288	10	57	94	3748	GRID
100289	10	134	107	5100	GRID
100290	10	57	93	4758	GRID
100291	10	150	97	4760	GRID
100292	10	137	108	5100	GRID
100293	10	196	120	4760	GRID
100294	10	201	95	4424	GRID
100295	10	58	93	1082	GRID
100296	10	198	119	4758	GRID
100297	10	190	98	3078	GRID
100298	10	59	92	1074	GRID
100299	10	190	100	4420	GRID
100300	10	134	108	5100	GRID
100301	10	56	95	4422	GRID
100302	10	110	122	92	GRID
100303	10	129	93	4758	GRID
100304	10	136	108	5098	GRID
100305	10	57	93	2746	GRID
100306	10	192	109	4760	GRID
100307	10	54	94	5100	GRID
100308	10	135	113	5100	GRID
100309	10	111	101	5098	GRID
100310	10	154	119	5098	GRID
100311	10	198	94	4420	GRID
100312	10	200	119	4760	GRID
100313	10	186	117	4758	GRID
100314	10	59	101	5100	GRID
100315	10	128	97	5098	GRID
100316	10	133	107	5098	GRID
100317	10	120	100	5100	GRID
100318	10	199	97	4422	GRID
100319	10	129	103	5098	GRID
100320	10	187	115	5098	GRID
100321	10	190	100	4084	GRID
100322	10	145	98	5100	GRID
100323	10	187	118	5098	GRID
100324	10	189	109	4760	GRID
100325	10	198	95	4084	GRID
100326	10	182	117	5100	GRID
100327	10	175	120	5098	GRID
100328	10	146	94	4758	GRID
100329	10	191	99	3750	GRID
100330	10	135	103	5098	GRID
100331	10	184	121	5098	GRID
100332	10	191	96	4760	GRID
100333	10	139	94	5098	GRID
100334	10	159	104	4760	GRID
100335	10	189	114	4760	GRID
100336	10	180	108	422	GRID
100337	10	200	116	4758	GRID
100338	10	192	94	4424	GRID
100339	10	191	97	4420	GRID
100340	10	137	93	4758	GRID
100341	10	187	119	5098	GRID
100342	11	115	94	90	GRID
100343	10	148	98	5098	GRID
100344	10	154	99	4760	GRID
100345	10	129	105	5098	GRID
100346	10	148	99	5096	GRID
100347	10	189	105	4760	GRID
100348	10	187	119	4760	GRID
100349	10	194	109	4760	GRID
100350	10	189	116	4760	GRID
100351	10	109	95	5098	GRID
100352	10	191	99	4760	GRID
100353	10	180	114	5096	GRID
100354	10	130	100	5098	GRID
100355	10	154	99	4422	GRID
100356	10	189	112	4760	GRID
100357	10	188	105	4760	GRID
100358	10	151	115	5098	GRID
100359	10	95	91	4760	GRID
100360	10	194	119	4758	GRID
100361	10	198	103	4424	GRID
100362	10	194	115	4760	GRID
100363	10	191	115	4758	GRID
100364	10	185	121	4760	GRID
100365	10	185	120	4762	GRID
100366	10	147	93	4756	GRID
100367	10	143	107	5100	GRID
100368	10	201	94	4422	GRID
100369	10	200	111	4760	GRID
100370	10	183	94	4424	GRID
100371	10	196	109	4762	GRID
100372	10	137	104	5100	GRID
100373	10	196	113	4764	GRID
100374	10	135	104	5098	GRID
100375	10	195	115	4760	GRID
100376	10	180	106	4758	GRID
100377	11	176	116	92	GRID
100378	10	147	109	5098	GRID
100379	10	125	103	5098	GRID
100380	10	194	118	4758	GRID
100381	10	190	112	4760	GRID
100382	10	159	102	4760	GRID
100383	10	151	94	4760	GRID
100384	10	190	118	4760	GRID
100385	10	191	116	4760	GRID
100386	10	193	113	4760	GRID
100387	10	189	117	4760	GRID
100388	10	194	95	4422	GRID
100389	10	131	100	5100	GRID
100390	10	134	105	5100	GRID
100391	10	193	94	4424	GRID
100392	10	193	106	4760	GRID
100393	10	191	95	4422	GRID
100394	10	201	100	4760	GRID
100395	10	186	115	4760	GRID
100396	10	190	98	4086	GRID
100397	10	196	108	4762	GRID
100398	10	26	114	1742	GRID
100399	10	26	114	1416	GRID
100400	10	48	109	2744	GRID
100401	10	82	109	2744	GRID
100402	10	80	108	3750	GRID
100403	10	61	99	2416	GRID
100404	10	170	121	4760	GRID
100405	10	23	108	2078	GRID
100406	10	71	101	2748	GRID
100407	10	29	112	2408	GRID
100408	10	25	112	4086	GRID
100409	10	82	109	3080	GRID
100410	10	81	115	90	GRID
100411	10	71	101	3752	GRID
100412	10	36	122	90	GRID
100413	10	46	109	1080	GRID
100414	10	34	117	1410	GRID
100415	10	72	101	2748	GRID
100416	10	25	109	3078	GRID
100417	10	30	117	1078	GRID
100418	10	32	115	1076	GRID
100419	10	79	110	754	GRID
100420	10	33	115	3076	GRID
100421	10	84	112	1082	GRID
100422	10	29	116	2410	GRID
100423	10	77	106	2086	GRID
100424	10	81	112	84	GRID
100425	10	58	109	1084	GRID
100426	10	35	118	4086	GRID
100427	10	30	113	3750	GRID
100428	10	76	111	4086	GRID
100429	10	25	115	1408	GRID
100430	10	30	114	742	GRID
100431	10	26	112	1408	GRID
100432	10	77	107	4760	GRID
100433	10	43	121	1078	GRID
100434	10	31	117	5098	GRID
100435	10	26	109	1078	GRID
100436	10	81	109	5100	GRID
100437	10	54	109	1742	GRID
100438	10	178	104	748	GRID
100439	10	47	117	1744	GRID
100440	10	37	113	1740	GRID
100441	10	47	117	2076	GRID
100442	10	30	104	3748	GRID
100443	10	27	103	4756	GRID
100444	10	42	113	3748	GRID
100445	10	43	114	4420	GRID
100446	10	42	113	2746	GRID
100447	10	44	115	1742	GRID
100448	10	42	110	414	GRID
100449	10	35	104	1742	GRID
100450	10	51	120	3076	GRID
100451	10	23	101	2406	GRID
100452	10	30	104	4084	GRID
100453	10	52	120	5098	GRID
100454	10	39	111	416	GRID
100455	10	44	115	1408	GRID
100456	10	29	103	4758	GRID
100457	10	35	105	3080	GRID
100458	10	37	110	5100	GRID
100459	10	59	107	414	GRID
100460	10	38	112	5096	GRID
100461	10	116	112	422	GRID
100462	10	37	110	4758	GRID
100463	10	45	117	5100	GRID
100464	10	49	119	2742	GRID
100465	10	46	121	4760	GRID
100466	10	38	112	3748	GRID
100467	10	39	113	4422	GRID
100468	10	44	115	2408	GRID
100469	10	42	113	3080	GRID
100470	10	29	103	4420	GRID
100471	10	51	120	3748	GRID
100472	10	45	113	86	GRID
100473	10	44	115	3748	GRID
100474	10	34	105	4084	GRID
100475	10	52	120	4760	GRID
100476	10	30	104	3414	GRID
100477	10	50	111	414	GRID
100478	10	24	93	2742	GRID
100479	10	31	91	2408	GRID
100480	10	38	103	4420	GRID
100481	10	24	94	1412	GRID
100482	10	61	117	752	GRID
100483	10	39	103	1750	GRID
100484	10	50	114	1404	GRID
100485	10	28	92	3078	GRID
100486	10	46	110	2412	GRID
100487	10	46	110	2078	GRID
100488	10	27	95	740	GRID
100489	10	65	108	4760	GRID
100490	10	54	113	2074	GRID
100491	10	55	112	3078	GRID
100492	10	38	102	4084	GRID
100493	10	27	95	3412	GRID
100494	10	196	99	1750	GRID
100495	11	190	97	88	GRID
100496	10	24	93	3076	GRID
100497	10	34	98	1744	GRID
100498	10	23	95	2412	GRID
100499	10	50	112	744	GRID
100500	10	56	115	4422	GRID
100501	10	50	112	4758	GRID
100502	10	53	106	2078	GRID
100503	10	32	93	82	GRID
100504	10	48	112	418	GRID
100505	10	56	113	3080	GRID
100506	10	109	113	5096	GRID
100507	10	35	97	3748	GRID
100508	10	42	103	2410	GRID
100509	10	159	117	424	GRID
100510	10	95	108	424	GRID
100511	10	45	103	746	GRID
100512	10	49	110	4422	GRID
100513	10	50	112	4422	GRID
100514	10	29	91	3750	GRID
100515	10	28	96	4420	GRID
100516	10	27	95	4422	GRID
100517	10	34	96	414	GRID
100518	10	41	93	2084	GRID
100519	10	42	93	2078	GRID
100520	11	127	102	92	GRID
100521	10	42	93	4424	GRID
100522	10	52	98	1740	GRID
100523	10	58	103	1420	GRID
100524	10	46	96	4760	GRID
100525	10	50	98	4420	GRID
100526	10	40	93	3750	GRID
100527	10	42	94	2742	GRID
100528	11	187	94	420	GRID
100529	10	44	94	3078	GRID
100530	10	47	96	1414	GRID
100531	10	44	95	2408	GRID
100532	10	54	99	1744	GRID
100533	10	52	98	4082	GRID
100534	10	179	91	4424	GRID
100535	10	43	95	4420	GRID
100536	10	50	99	3748	GRID
100537	10	43	94	1750	GRID
100538	10	56	102	748	GRID
100539	10	57	103	3080	GRID
100540	10	42	93	744	GRID
100541	10	53	98	2742	GRID
100542	10	59	104	1076	GRID
100543	10	43	95	3748	GRID
100544	10	53	100	5096	GRID
100545	10	53	98	2410	GRID
100546	10	53	99	2414	GRID
100547	10	58	104	5102	GRID
100548	10	42	94	3414	GRID
100549	10	41	91	4422	GRID
100550	10	42	93	3752	GRID
100551	10	39	114	1074	GRID
100552	10	45	95	2080	GRID
100553	10	51	108	1080	GRID
100554	10	43	95	3412	GRID
100555	10	50	99	1414	GRID
100556	10	44	95	4760	GRID
100557	10	43	93	3750	GRID
100558	10	200	111	5100	GRID
100559	10	197	113	5100	GRID
100560	10	196	97	3078	GRID
100561	10	199	111	5104	GRID
100562	10	198	108	5098	GRID
100563	10	201	98	5098	GRID
100564	10	201	104	5100	GRID
100565	10	200	110	5100	GRID
100566	10	196	105	5100	GRID
100567	10	196	96	5100	GRID
100568	10	195	96	4760	GRID
100569	10	201	105	5100	GRID
100570	10	193	95	5100	GRID
100571	10	36	103	86	GRID
100572	10	200	114	5100	GRID
100573	10	199	119	5098	GRID
100574	10	199	108	5098	GRID
100575	10	195	102	5100	GRID
100576	10	197	119	5096	GRID
100577	10	197	116	5098	GRID
100578	10	196	97	3750	GRID
100579	10	198	97	3078	GRID
100580	10	199	96	4762	GRID
100581	10	200	102	5100	GRID
100582	10	201	100	5100	GRID
100583	10	195	103	5098	GRID
100584	10	198	105	5100	GRID
100585	10	195	108	5100	GRID
100586	10	199	105	5100	GRID
100587	10	199	113	5100	GRID
100588	10	75	110	3082	GRID
100589	10	198	106	5100	GRID
100590	10	200	95	1086	GRID
100591	10	197	102	2744	GRID
100592	10	195	118	5098	GRID
100593	11	174	104	90	GRID
100594	10	199	116	5098	GRID
100595	10	200	103	5098	GRID
100596	10	199	109	5102	GRID
100597	10	200	109	5100	GRID
100598	10	139	96	5098	GRID
100599	10	160	120	426	GRID
100600	10	141	98	5096	GRID
100601	10	144	99	5098	GRID
100602	10	135	95	5098	GRID
100603	10	174	101	4760	GRID
100604	10	144	100	5098	GRID
100605	10	171	114	5100	GRID
100606	10	176	114	5098	GRID
100607	10	172	106	5094	GRID
100608	10	129	94	5098	GRID
100609	10	178	113	5080	GRID
100610	10	131	95	5098	GRID
100611	10	175	121	5100	GRID
100612	10	174	94	4760	GRID
100613	10	171	107	5096	GRID
100614	10	139	92	5096	GRID
100615	10	171	95	4762	GRID
100616	10	153	100	5098	GRID
100617	10	127	95	5098	GRID
100618	10	172	108	5098	GRID
100619	10	138	93	5098	GRID
100620	10	136	95	5098	GRID
100621	10	122	94	5098	GRID
